API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Jul 20 21:41:43 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 02:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-10 23:50:00.0000 TDB
Step-size       : 20 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260720.p261016
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-JUL-20. PREDICTS-> 2026-OCT-15
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461132.916666667, A.D. 2026-Apr-02 10:00:00.0000, -2.348536181957309E+04, -6.246030189189401E+04, -3.377164224138096E+04,  7.916191784631069E-01, -6.040624932867226E-01, -3.014018051754195E-01,
2461132.930555556, A.D. 2026-Apr-02 10:20:00.0000, -2.258199900639542E+04, -6.317449270446021E+04, -3.415288091519642E+04,  7.609604980322474E-01, -5.620900669193535E-01, -3.017464943734837E-01,
2461132.944444444, A.D. 2026-Apr-02 10:40:00.0000, -2.165395639819850E+04, -6.380660050301177E+04, -3.449205485123536E+04,  7.855378353082000E-01, -4.914993082144313E-01, -2.635851598078485E-01,
2461132.958333333, A.D. 2026-Apr-02 11:00:00.0000, -2.069726490787234E+04, -6.435424548301061E+04, -3.478556990152786E+04,  8.087229506733208E-01, -4.212948046330239E-01, -2.256354185510309E-01,
2461132.972222222, A.D. 2026-Apr-02 11:20:00.0000, -1.971354631362067E+04, -6.481780596886913E+04, -3.503363388494743E+04,  8.305951644203112E-01, -3.513352428059830E-01, -1.878208078108572E-01,
2461132.986111111, A.D. 2026-Apr-02 11:40:00.0000, -1.870433472017986E+04, -6.519749275826975E+04, -3.523636398800198E+04,  8.512214890437058E-01, -2.814824670967289E-01, -1.500665968027745E-01,
2461133.000000000, A.D. 2026-Apr-02 12:00:00.0000, -1.767109048652752E+04, -6.549335202612152E+04, -3.539378826320107E+04,  8.706598352049484E-01, -2.116003702129906E-01, -1.122977277045634E-01,
2461133.013888889, A.D. 2026-Apr-02 12:20:00.0000, -1.661172988478800E+04, -6.570593405526827E+04, -3.550378056446943E+04,  8.944142152559151E-01, -1.425982668358944E-01, -7.120315472965992E-02,
2461133.027777778, A.D. 2026-Apr-02 12:40:00.0000, -1.552803235380018E+04, -6.583487444988790E+04, -3.556644346404546E+04,  9.115661617849861E-01, -7.236002440133368E-02, -3.319167984494931E-02,
2461133.041666667, A.D. 2026-Apr-02 13:00:00.0000, -1.442438819839915E+04, -6.587922848617233E+04, -3.558335794256244E+04,  9.276688528748357E-01, -1.442963778102863E-03,  5.049170723518386E-03,
2461133.055555556, A.D. 2026-Apr-02 13:20:00.0000, -1.330207465553031E+04, -6.583818386487968E+04, -3.555419542217149E+04,  9.426808906335784E-01,  6.996213945356437E-02,  4.361400474614304E-02,
2461133.069444444, A.D. 2026-Apr-02 13:40:00.0000, -1.216237976178124E+04, -6.571102135483931E+04, -3.547852644893706E+04,  9.566333450087539E-01,  1.421124897255630E-01,  8.257371130042071E-02,
2461133.083333333, A.D. 2026-Apr-02 14:00:00.0000, -1.100658103866558E+04, -6.549675269955870E+04, -3.535582659021521E+04,  9.695194366100850E-01,  2.151661397512978E-01,  1.220134028381823E-01,
2461133.097222222, A.D. 2026-Apr-02 14:20:00.0000, -9.835964384703981E+03, -6.519419432918692E+04, -3.518546623576506E+04,  9.813269902734527E-01,  2.892909155274149E-01,  1.620234235909808E-01,
2461133.111111111, A.D. 2026-Apr-02 14:40:00.0000, -8.651836734943556E+03, -6.480195429848414E+04, -3.496670363966830E+04,  9.920329639462001E-01,  3.646666877432082E-01,  2.027005390108231E-01,
2461133.125000000, A.D. 2026-Apr-02 15:00:00.0000, -7.455539731278118E+03, -6.431841630319126E+04, -3.469867639447695E+04,  1.001602340387974E+00,  4.414879868504114E-01,  2.441493377776324E-01,
2461133.138888889, A.D. 2026-Apr-02 15:20:00.0000, -6.248464946824133E+03, -6.374172030355136E+04, -3.438039108709466E+04,  1.009986631739418E+00,  5.199670603192015E-01,  2.864838696215984E-01,
2461133.152777778, A.D. 2026-Apr-02 15:40:00.0000, -5.032071179772113E+03, -6.306973915357733E+04, -3.401071081559370E+04,  1.017121910984046E+00,  6.003374969040624E-01,  3.298295856784833E-01,
2461133.166666667, A.D. 2026-Apr-02 16:00:00.0000, -3.807904461792375E+03, -6.230005046865586E+04, -3.358834015754020E+04,  1.022926227906780E+00,  6.828585660455603E-01,  3.743256602936855E-01,
2461133.180555556, A.D. 2026-Apr-02 16:20:00.0000, -2.577621603974556E+03, -6.142990274925230E+04, -3.311180706576787E+04,  1.027296264145440E+00,  7.678204908218742E-01,  4.201278110440276E-01,
2461133.194444444, A.D. 2026-Apr-02 16:40:00.0000, -1.343018347350849E+03, -6.045617449566770E+04, -3.257944101669200E+04,  1.030102960040283E+00,  8.555509096183460E-01,  4.674117527862727E-01,
2461133.208333333, A.D. 2026-Apr-02 17:00:00.0000, -1.060635280266654E+02, -5.937532467514802E+04, -3.198934653708145E+04,  1.031185795131923E+00,  9.464228952248038E-01,  5.163774824002257E-01,
2461133.222222222, A.D. 2026-Apr-02 17:20:00.0000,  1.131058854905480E+03, -5.818333239742016E+04, -3.133937096598669E+04,  1.030345243556781E+00,  1.040865016568016E+00,  5.672546526557567E-01,
2461133.236111111, A.D. 2026-Apr-02 17:40:00.0000,  2.365897097292270E+03, -5.687562296645137E+04, -3.062706494195765E+04,  1.027332726817018E+00,  1.139374114034746E+00,  6.203093924729959E-01,
2461133.250000000, A.D. 2026-Apr-02 18:00:00.0000,  3.595665215649559E+03, -5.544697652280909E+04, -2.984963359815774E+04,  1.021837076000747E+00,  1.242531723465139E+00,  6.758530712128560E-01,
2461133.263888889, A.D. 2026-Apr-02 18:20:00.0000,  4.816252406554787E+03, -5.389259816047820E+04, -2.900200324651642E+04,  1.010958736537376E+00,  1.347712745411693E+00,  7.394540615054083E-01,
2461133.277777778, A.D. 2026-Apr-02 18:40:00.0000,  6.025761471258002E+03, -5.220324552569627E+04, -2.808428033276609E+04,  1.001753335283797E+00,  1.465680653557133E+00,  7.958979643579531E-01,
2461133.291666667, A.D. 2026-Apr-02 19:00:00.0000,  7.218848960831233E+03, -5.037211629809460E+04, -2.709030293893077E+04,  9.859936117468130E-01,  1.587487245028213E+00,  8.614191575828049E-01,
2461133.305555556, A.D. 2026-Apr-02 19:20:00.0000,  8.390208272460437E+03, -4.838993156077585E+04, -2.601508469018734E+04,  9.653802874046494E-01,  1.717665043092971E+00,  9.314197162960051E-01,
2461133.319444444, A.D. 2026-Apr-02 19:40:00.0000,  9.533381349281666E+03, -4.624577095358889E+04, -2.485278297521458E+04,  9.388034686725131E-01,  1.857729070692475E+00,  1.006708878693788E+00,
2461133.333333333, A.D. 2026-Apr-02 20:00:00.0000,  1.064035880784849E+04, -4.392666882045940E+04, -2.359646303244409E+04,  9.047635000965849E-01,  2.009593537408364E+00,  1.088308500464135E+00,
2461133.347222222, A.D. 2026-Apr-02 20:20:00.0000,  1.170101066765785E+04, -4.141705116995324E+04, -2.223779818122700E+04,  8.611875687931619E-01,  2.175721542933885E+00,  1.177532560084591E+00,
2461133.361111111, A.D. 2026-Apr-02 20:40:00.0000,  1.270223490637924E+04, -3.869795187274382E+04, -2.076665288161752E+04,  8.051320898636302E-01,  2.359349175191740E+00,  1.276106031064475E+00,
2461133.375000000, A.D. 2026-Apr-02 21:00:00.0000,  1.362663763936917E+04, -3.574589307735476E+04, -1.917048783388914E+04,  7.322784681921936E-01,  2.564831299056816E+00,  1.386348171137612E+00,
2461133.388888889, A.D. 2026-Apr-02 21:20:00.0000,  1.445051690691682E+04, -3.253121921730563E+04, -1.743362504705609E+04,  6.360564459361279E-01,  2.798196264678031E+00,  1.511424615970989E+00,
2461133.402777778, A.D. 2026-Apr-02 21:40:00.0000,  1.513976755289445E+04, -2.901566576673162E+04, -1.553540260661327E+04,  5.058438045779978E-01,  3.068046630944730E+00,  1.655994223309193E+00,
2461133.416666667, A.D. 2026-Apr-02 22:00:00.0000,  1.564392575965757E+04, -2.514829303593215E+04, -1.344880099798367E+04,  3.236224655378965E-01,  3.387156448741102E+00,  1.826769934228572E+00,
2461133.430555556, A.D. 2026-Apr-02 22:20:00.0000,  1.588286565863675E+04, -2.085905126705871E+04, -1.113656311777345E+04,  5.599527584739873E-02,  3.775244085825160E+00,  2.034114822310765E+00,
2461133.444444444, A.D. 2026-Apr-02 22:40:00.0000,  1.571755798134839E+04, -1.604786267373080E+04, -8.545748258798685E+03, -3.665960408190088E-01,  4.263563281405408E+00,  2.294554275698395E+00,
2461133.458333333, A.D. 2026-Apr-02 23:00:00.0000,  1.487722332185986E+04, -1.056754210237168E+04, -5.598650062781304E+03, -1.112834913071427E+00,  4.899417699178476E+00,  2.632471592074166E+00,
2461133.472222222, A.D. 2026-Apr-02 23:20:00.0000,  1.272557907135892E+04, -4.218605316579441E+03, -2.191748074909460E+03, -2.700853670770130E+00,  5.699048595282775E+00,  3.053383277162085E+00,
2461133.486111111, A.D. 2026-Apr-02 23:40:00.0000,  7.328169562188694E+03,  2.858463756899415E+03,  1.586953747479536E+03, -7.050747819191222E+00,  5.591497682274014E+00,  2.967332407130491E+00,
2461133.500000000, A.D. 2026-Apr-03 00:00:00.0000, -4.167610090861469E+03,  5.707466817566595E+03,  2.994833165390640E+03, -9.926859512834213E+00, -1.581202345111689E+00, -1.051338118484023E+00,
2461133.513888889, A.D. 2026-Apr-03 00:20:00.0000, -1.354658877358502E+04,  1.952033806470495E+03,  7.811608480055006E+02, -6.114273743510244E+00, -3.787617688808991E+00, -2.166324501195441E+00,
2461133.527777778, A.D. 2026-Apr-03 00:40:00.0000, -1.971397824140643E+04, -2.646246243254068E+03, -1.823613569938724E+03, -4.382035130173957E+00, -3.796319617745772E+00, -2.136224025361281E+00,
2461133.541666667, A.D. 2026-Apr-03 01:00:00.0000, -2.438436675878804E+04, -7.091759041298041E+03, -4.315866865482530E+03, -3.484153858207709E+00, -3.606959406571652E+00, -2.015996661396485E+00,
2461133.555555556, A.D. 2026-Apr-03 01:20:00.0000, -2.821071613369034E+04, -1.130395212033275E+04, -6.665258512303272E+03, -2.931789387902019E+00, -3.416625080604382E+00, -1.902195160974540E+00,
2461133.569444444, A.D. 2026-Apr-03 01:40:00.0000, -3.148925690264450E+04, -1.530109610133595E+04, -8.887607305359232E+03, -2.553708090735489E+00, -3.249334045036598E+00, -1.804333860885919E+00,
2461133.583333333, A.D. 2026-Apr-03 02:00:00.0000, -3.437938933840847E+04, -1.911153783350416E+04, -1.100141522750417E+04, -2.276165175289904E+00, -3.104926920094348E+00, -1.720842347080532E+00,
2461133.597222222, A.D. 2026-Apr-03 02:20:00.0000, -3.697729187759024E+04, -2.276059351074168E+04, -1.302227643714874E+04, -2.062222965901341E+00, -2.979713102068616E+00, -1.648985833460519E+00,
2461133.611111111, A.D. 2026-Apr-03 02:40:00.0000, -3.934582173743531E+04, -2.626907806696528E+04, -1.496268576540440E+04, -1.891280729119730E+00, -2.870095284320456E+00, -1.586408798014812E+00,
2461133.625000000, A.D. 2026-Apr-03 03:00:00.0000, -4.152853369541059E+04, -2.965388139033654E+04, -1.683263185896123E+04, -1.750900713390366E+00, -2.773147041807056E+00, -1.531282032945009E+00,
2461133.638888889, A.D. 2026-Apr-03 03:20:00.0000, -4.355698314168423E+04, -3.292877764219039E+04, -1.864018086512426E+04, -1.633103820426396E+00, -2.686582386016881E+00, -1.482211625926032E+00,
2461133.652777778, A.D. 2026-Apr-03 03:40:00.0000, -4.545484739751942E+04, -3.610511672162731E+04, -2.039193246192920E+04, -1.532520482947785E+00, -2.608624510439288E+00, -1.438130910543370E+00,
2461133.666666667, A.D. 2026-Apr-03 04:00:00.0000, -4.724040181535781E+04, -3.919235922312087E+04, -2.209335832143231E+04, -1.445394877079428E+00, -2.537883118054896E+00, -1.398214231711853E+00,
2461133.680555556, A.D. 2026-Apr-03 04:20:00.0000, -4.892808421648440E+04, -4.219848008961745E+04, -2.374905137599721E+04, -1.369014932702028E+00, -2.473258686058554E+00, -1.361813818947343E+00,
2461133.694444444, A.D. 2026-Apr-03 04:40:00.0000, -5.052952502130259E+04, -4.513027270961712E+04, -2.536291061537719E+04, -1.301369303266554E+00, -2.413871386781776E+00, -1.328414532298437E+00,
2461133.708333333, A.D. 2026-Apr-03 05:00:00.0000, -5.205424937602551E+04, -4.799357965820504E+04, -2.693827970434464E+04, -1.240932093006998E+00, -2.359008958164889E+00, -1.297601404553215E+00,
2461133.722222222, A.D. 2026-Apr-03 05:20:00.0000, -5.351016993380007E+04, -5.079346961593069E+04, -2.847805234851540E+04, -1.186522881583679E+00, -2.308088380231202E+00, -1.269036147507809E+00,
2461133.736111111, A.D. 2026-Apr-03 05:40:00.0000, -5.490394151283648E+04, -5.353437459058430E+04, -2.998475346299521E+04, -1.137212883775433E+00, -2.260627484871629E+00, -1.242439946530866E+00,
2461133.750000000, A.D. 2026-Apr-03 06:00:00.0000, -5.624122197427560E+04, -5.622019758247284E+04, -3.146060250760937E+04, -1.092260352706772E+00, -2.216223698606350E+00, -1.217580692046763E+00,
2461133.763888889, A.D. 2026-Apr-03 06:20:00.0000, -5.752686782148996E+04, -5.885439800377648E+04, -3.290756350654336E+04, -1.051065069789889E+00, -2.174537948736587E+00, -1.194263380920633E+00,
2461133.777777778, A.D. 2026-Apr-03 06:40:00.0000, -5.876508335238758E+04, -6.144006016393189E+04, -3.432738499729360E+04, -1.013135617630811E+00, -2.135282340419762E+00, -1.172322809584659E+00,
2461133.791666667, A.D. 2026-Apr-03 07:00:00.0000, -5.995953611625123E+04, -6.397994872206439E+04, -3.572163227021657E+04, -9.780654126920150E-01, -2.098210618484221E+00, -1.151617945857930E+00,
2461133.805555556, A.D. 2026-Apr-03 07:20:00.0000, -6.111344749632348E+04, -6.647655399638679E+04, -3.709171363534579E+04, -9.455148628318722E-01, -2.063110704763591E+00, -1.132027543790989E+00,
2461133.819444444, A.D. 2026-Apr-03 07:40:00.0000, -6.222966464538154E+04, -6.893212930637177E+04, -3.843890201566256E+04, -9.151978895561274E-01, -2.029798805797117E+00, -1.113446693569367E+00,
2461133.833333333, A.D. 2026-Apr-03 08:00:00.0000, -6.331071824172191E+04, -7.134872198991624E+04, -3.976435284270912E+04, -8.868716089579953E-01, -1.998114713282127E+00, -1.095784078477835E+00,
2461133.847222222, A.D. 2026-Apr-03 08:20:00.0000, -6.435886932610993E+04, -7.372819935777370E+04, -4.106911900116120E+04, -8.603283357690331E-01, -1.967918025474658E+00, -1.078959775467802E+00,
2461133.861111111, A.D. 2026-Apr-03 08:40:00.0000, -6.537614763173305E+04, -7.607227056025759E+04, -4.235416339691388E+04, -8.353893182359142E-01, -1.939085083604103E+00, -1.062903476304253E+00,
2461133.875000000, A.D. 2026-Apr-03 09:00:00.0000, -6.636438321561422E+04, -7.838250512753599E+04, -4.362036959580462E+04, -8.118997791130599E-01, -1.911506469161507E+00, -1.047553037586728E+00,
